Base Sentence,Sentence Label,Domain,Model Name,API Name,Batch ID,Template Number
"According to the Weather Channel, the precipitation levels at New York rose in the spring of 2024.",0,weather,llama-3.3-70b-versatile,GROQ_CLOUD,0,4
"In the fourth quarter of 2023, Meteorologist Michael Brown envisioned that the wind gusts at Chicago decreased.",0,weather,llama-3.3-70b-versatile,GROQ_CLOUD,0,5
"The humidity in Houston increased on February 27, 2024, according to the Texas Weather Bureau.",0,weather,llama-3.3-70b-versatile,GROQ_CLOUD,0,6
The meteorologist observed that the temperature at the research station had remained stable in 2024/08/21.,0,weather,llama-3.1-8b-instant,GROQ_CLOUD,0,1
"On Q3 of 2027, the weather team reported that the precipitation at the national park rose.",0,weather,llama-3.1-8b-instant,GROQ_CLOUD,0,2
"Dr. Maria Rodriguez noted that on 21 Aug 2024, the dew point at the coastal city decreased.",0,weather,llama-3.1-8b-instant,GROQ_CLOUD,0,3
"According to the weather expert, the wind speed at the mountain resort rose in 2029 of Q3.",0,weather,llama-3.1-8b-instant,GROQ_CLOUD,0,4
"In 2025, the research assistant envisioned that the humidity at the desert location decreased.",0,weather,llama-3.1-8b-instant,GROQ_CLOUD,0,5
"The temperature in the city rose in August 2024, according to the senior weather analyst.",0,weather,llama-3.1-8b-instant,GROQ_CLOUD,0,6
Coach Thompson observed that the rebounding margin at the Chicago Bulls had remained stable in September 2024.,0,sport,llama-3.3-70b-versatile,GROQ_CLOUD,0,1
"On 02/15/2023, Analyst Rachel Lee monitored the free throw percentage at the Golden State Warriors changed.",0,sport,llama-3.3-70b-versatile,GROQ_CLOUD,0,2
"Analyst Michael Brown noted on 10/20/2022, the Cleveland Cavaliers' turnover rate fell.",0,sport,llama-3.3-70b-versatile,GROQ_CLOUD,0,3
"According to Coach James Davis, the passing yards at the Kansas City Chiefs rose in November 2023.",0,sport,llama-3.3-70b-versatile,GROQ_CLOUD,0,4
"In June 2024, Analyst Emily Patel envisioned that the New England Patriots' sack count decreased.",0,sport,llama-3.3-70b-versatile,GROQ_CLOUD,0,5
"The blocked shot count at the Milwaukee Bucks increased in January 2022, according to Coach Brian Williams.",0,sport,llama-3.3-70b-versatile,GROQ_CLOUD,0,6
Coach Thompson observed that the home run count at the Chicago Cubs remained stable in August 2024.,0,sport,llama-3.1-8b-instant,GROQ_CLOUD,0,1
"On 2024-09-15, Analyst Patel monitored the win percentage at the Los Angeles Lakers changed.",0,sport,llama-3.1-8b-instant,GROQ_CLOUD,0,2
"Analyst Rodriguez noted on 2022-11-12, the save percentage at the Toronto Maple Leafs fell.",0,sport,llama-3.1-8b-instant,GROQ_CLOUD,0,3
"According to the New York Giants staff, the rushing yards at the New York Giants rose in Q2 of 2028.",0,sport,llama-3.1-8b-instant,GROQ_CLOUD,0,4
"In 2023-06-25, Coach Lee envisioned that the serve accuracy at the Miami Dolphins decreased.",0,sport,llama-3.1-8b-instant,GROQ_CLOUD,0,5
"The corner kick count at the Manchester City FC increased in 2021, according to Analyst Khan.",0,sport,llama-3.1-8b-instant,GROQ_CLOUD,0,6
"Research advisor, Dr. Rachel Kim, observed that the number of published papers at Harvard University had increased in October 2022.",0,miscellaneous,llama-3.3-70b-versatile,GROQ_CLOUD,0,1
"On 02/20/2020, senior level person, Emily Patel, monitored the customer retention rate at Walmart changed.",0,miscellaneous,llama-3.3-70b-versatile,GROQ_CLOUD,0,2
"College student, David Lee, noted on 11/15/2019, the sales of Apple products fell.",0,miscellaneous,llama-3.3-70b-versatile,GROQ_CLOUD,0,3
"According to top executive, James Davis, the stock price of Microsoft rose in January 2021.",0,miscellaneous,llama-3.3-70b-versatile,GROQ_CLOUD,0,4
"In Q2 of 2022, expert, Michael Brown, envisioned that the demand for electric vehicles decreased.",0,miscellaneous,llama-3.3-70b-versatile,GROQ_CLOUD,0,5
"The satisfaction rate of Amazon customers increased in 2024-02-10, according to analyst, Olivia Taylor.",0,miscellaneous,llama-3.3-70b-versatile,GROQ_CLOUD,0,6
Professor Rachel Kim observed that the overall satisfaction at Harvard University remained stable in 2024/08/21.,0,miscellaneous,llama-3.1-8b-instant,GROQ_CLOUD,0,1
"On Aug 21, 2024, Research Advisor David Lee monitored the sales at Apple Inc changed.",0,miscellaneous,llama-3.1-8b-instant,GROQ_CLOUD,0,2
"Dr. Emily Patel noted on 21 Aug 2024, the stock prices for Tesla Inc fell.",0,miscellaneous,llama-3.1-8b-instant,GROQ_CLOUD,0,3
"According to Senior Executive James Davis, the customer loyalty at Amazon rose Q3 of 2027.",0,miscellaneous,llama-3.1-8b-instant,GROQ_CLOUD,0,4
"In 2029 of Q3, Professor Michael Brown envisioned that the graduation rates at Stanford University decreased.",0,miscellaneous,llama-3.1-8b-instant,GROQ_CLOUD,0,5
"Lecture attendance improved in 2024, according to Professor Lisa Nguyen.",0,miscellaneous,llama-3.1-8b-instant,GROQ_CLOUD,0,6
